OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,9096,2020/11/04 23:00:00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},313.247626450139,192,54.2397770073625,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,15132,2020/11/04 23:00:00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},819.162291250847,296,99.8239006784669,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,41209,2020/11/04 23:00:00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},515.524403998795,791,88.258018156507,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,6365,2020/11/04 23:00:00,04,{4132268B-54DE-4327-AC1E-760E915112F1},934.377761662473,80,216.96941582673,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,153766,2020/11/04 23:00:00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},856.76774136787,2267,168.315752059887,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,47477,2020/11/04 23:00:00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},755.031742598695,710,151.922367399906,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,23391,2020/11/04 23:00:00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},571.361852002844,307,111.995814263308,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,90734,2020/11/04 23:00:00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},817.394409603839,2072,121.491183105753,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,119505,2020/11/04 23:00:00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},910.53253105186,2851,145.663871207476,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,7564,2020/11/04 23:00:00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},766.450464946848,195,147.433292768068,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,35971,2020/11/04 23:00:00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},980.272195789552,272,162.393094846124,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,9062,2020/11/04 23:00:00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},359.333246890332,204,55.9896871120226,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,3271,2020/11/04 23:00:00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},203.402941787334,23,47.3839931647657,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,21119,2020/11/04 23:00:00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},518.643182871391,365,105.305268627895,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,5897,2020/11/04 23:00:00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},268.68272110852,88,52.1236277680426,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,8024,2020/11/04 23:00:00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},376.117125047694,217,71.2485082343588,15.0324529635839,2.07032354616438
